Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-3YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 3 year",1900.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 3 year, Renewal",1180.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-5YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 5 year",2650.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 5 year, Renewal",1960.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-1YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support",1200.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 1 year, Renewal",510.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 3 year",1950.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 3 year, Renewal",1220.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 5 year",2750.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 5 year, Renewal",2040.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support,2200.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",400.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support, 3 year",2700.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",1000.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support, 5 year",3200.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",1600.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support,2200.0000
Palo Alto Networks,PAN-VM-100-PERP-BASC-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",400.0000
